LON,LAT,REAL,XGB
77.327271,40.809652,4.0,0.8086990118026733
85.57525600000001,38.129426,1.0,-0.051999349147081375
75.242615,39.711413,2.0,0.13109807670116425
81.971345,36.135803,2.0,0.031561028212308884
88.395996,46.995241,1.0,0.8412221074104309
88.693314,46.410582,1.0,0.985698938369751
85.896606,47.208374,5.0,4.305301666259766
93.717027,43.201640999999995,0.0,0.5621951818466187
75.787382,39.098894,1.0,0.6127950549125671
83.56505899999999,46.392026,2.0,0.03221045807003975
83.612566,45.939064,1.0,0.38718223571777344
83.006644,46.34989,1.0,-0.027680739760398865
82.70469200000001,43.794393,1.0,-0.010535089299082756
83.518066,43.181146999999996,2.0,0.7307401895523071
75.06434399999999,38.419066,1.0,0.8987322449684143
85.770264,47.827908,5.0,4.6133341789245605
87.51709,48.429201,2.0,0.1858726590871811
83.522444,43.42556,1.0,0.3711166977882385
83.759165,46.658332,1.0,0.42686232924461365
86.050415,44.22552,1.0,0.23535402119159698
80.639648,44.933696000000005,2.0,0.9571826457977295
86.923828,44.621753999999996,3.0,0.10839913040399551
87.945557,47.50978,1.0,1.0728756189346313
90.06591800000001,44.496505,2.0,1.0835611820220947
90.758057,44.221584,1.0,0.34349673986434937
81.28073,37.500195,0.0,-0.018861839547753334
78.814162,37.817094,0.0,0.00943060964345932
79.969175,37.929741,0.0,-0.005089786369353533
82.688858,38.164228,0.0,0.48898646235466003
83.46163,38.277390999999994,0.0,0.00522153964266181
81.033493,38.475997,0.0,0.0434163399040699
80.412874,38.825788,0.0,-0.12211000174283981
83.506116,38.920885,0.0,-0.0030981365125626326
86.55283399999999,39.124039,0.0,0.20462365448474884
85.555371,39.274786999999996,0.0,-0.0725054070353508
79.465735,39.403024,0.0,0.3079773485660553
86.66480899999999,39.474623,0.0,0.24891982972621918
84.165754,39.592946000000005,0.0,0.04706405848264694
82.095875,39.673677000000005,0.0,0.03904007002711296
82.22569399999999,39.823351,0.0,-0.015214642509818077
79.731346,39.886699,0.0,-0.022507060319185257
82.73815,39.956355,0.0,0.1167735904455185
85.687993,40.133419,0.0,0.0020593805238604546
83.918543,40.228102,0.0,-0.011050159111618996
84.899606,40.522108,0.0,0.03711976855993271
93.2428,40.702121999999996,0.0,-0.42741158604621887
85.289068,40.981189,0.0,0.0010208598105236888
93.94266,41.176460999999996,0.0,0.0025829423684626818
93.119244,41.316439,0.0,-0.0065636890940368176
90.042146,41.375261,0.0,-0.01313749235123396
92.807435,41.46759,0.0,0.014091108925640583
91.64680200000001,41.768325,0.0,-0.017385339364409447
92.94183199999999,41.858745,0.0,0.012440587393939495
89.46900600000001,42.055626000000004,0.0,-0.006575094535946846
89.73875699999999,42.236209,0.0,0.007482810411602259
91.685305,42.430878,0.0,0.04498988389968872
95.47773000000001,43.796714,0.0,0.0060999696142971516
92.325397,44.833717,0.0,0.1170777752995491
78.173393,35.189943,0.0,0.0036338253412395716
84.086639,35.439797999999996,0.0,0.36250168085098267
79.755811,35.648011,0.0,0.0029897107742726803
77.507111,35.856224,0.0,-0.10136184841394424
82.87900400000001,35.939509,0.0,-0.002472301246598363
77.465469,36.147721999999995,0.0,0.0030401593539863825
78.381606,36.27265,0.0,0.0030401593539863825
78.92295899999999,36.43922,0.0,-0.0017508729360997677
90.20809799999999,36.480863,0.0,-0.0051405662670731544
82.46257800000001,36.605790999999996,0.0,0.03441263362765312
82.79571899999999,36.647433,0.0,0.0010840079048648477
88.62568,36.730717999999996,0.0,0.0022865731734782457
76.132906,36.897289,0.0,0.10974103212356567
78.381606,36.980574,0.0,3.8613114156760275e-05
90.374668,37.063859,0.0,0.20701876282691956
75.883051,37.313714000000004,0.0,-0.059255365282297134
88.667322,37.480284999999995,0.0,0.01508138794451952
88.750608,37.688497999999996,0.0,-0.050270311534404755
88.584037,37.89671,0.0,-0.001959701534360647
75.54991,38.438064000000004,0.0,0.5660439729690552
75.54991,38.646277000000005,0.0,0.5186547636985779
89.750029,38.771205,0.0,0.001716858590953052
90.874379,39.02106,0.0,0.11723068356513977
74.30063299999999,40.062125,0.0,0.5633530020713806
77.840252,40.811690999999996,0.0,2.2325406074523926
81.171658,41.894397999999995,0.0,0.08558259159326553
81.754654,42.394109,0.0,0.00018549196829553694
85.960555,42.685607,0.0,-0.018861839547753334
86.876692,42.852177000000005,0.0,-0.000880303792655468
84.794563,42.977105,0.0,0.7337280511856079
89.79167199999999,43.310246,0.0,0.6007125377655029
85.58577199999999,43.726671,0.0,0.04979715123772621
84.044996,44.059812,0.0,0.9126487374305725
